conjecture_id,found,elapsed_seconds,score,graph6,evaluated,classes,x,x_value,y,y_value,sign,rhs,order,size,density,minimum_degree,maximum_degree,average_degree
886,True,0.051914,4,I^|??KF@w,20,connected,maximum_degree,4,triangle_number,14,<=,10.0,10,19,0.4222222222222222,3,4,3.8
980,True,0.023904,0.625,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.375,2,1,1.0,1,1,1.0
981,True,0.023146,0.333333333333,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.6666666666666667,2,1,1.0,1,1,1.0
1177,True,0.027886,0.333333333333,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.3333333333333333,2,1,1.0,1,1,1.0
1178,True,0.026206,0.2,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.2,2,1,1.0,1,1,1.0
1191,True,0.208255,0.549340548341,K~~~~n~~~~|~,463,connected,clique_number,10,minimum_degree,10,<=,9.450659451659458,12,64,0.9696969696969697,10,11,10.666666666666666
1466,True,0.021835,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,domination_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
1566,True,0.024686,1,KAQJ@?AC???D,25,connected,total_domination_number,8,independence_number,6,>=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1587,True,0.026078,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1588,True,0.025072,1,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1600,True,0.022621,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1601,True,0.028906,1,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1708,True,0.039566,1,KAQJ@?AC???D,25,connected,independence_number,6,total_domination_number,8,<=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1880,True,0.022828,2,MsaCC@?OA?G?O?O??,17,connected,vertex_cover_number,2,independent_domination_number,7,<=,5.0,14,13,0.14285714285714285,1,7,1.8571428571428572
1891,True,0.024164,0.5,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2041,True,0.021542,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,matching_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2051,True,0.022859,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,vertex_cover_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2117,True,0.022230,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,matching_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
2120,True,0.025020,0.5,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2121,True,0.025912,1,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
4247,True,0.025079,4,A_,1,"connected,tree",diameter,1,independent_domination_number,1,<=,-3.0,2,1,1.0,1,1,1.0
4668,True,0.027820,1.77242857143,MsaCC@?OA?G?O?O??,10,"connected,tree",vertex_cover_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
4712,True,0.040469,1,A_,1,"connected,tree",independent_domination_number,1,diameter,1,>=,2.0,2,1,1.0,1,1,1.0
5952,True,1.524791,2,YzKGWK@?W?_B?B?@_?G?B??C??G??G??K?I@???W???o??@S??[??J??,245,"claw_free,connected",diameter,6,independence_number,10,<=,8.0,26,46,0.14153846153846153,2,5,3.5384615384615383
5994,True,0.992442,0.486714285714,KJYJbOAC???D,25,"claw_free,connected",radius,4,domination_number,4,<=,3.513285714285722,12,17,0.25757575757575757,1,5,2.8333333333333335
5996,True,0.596576,1.601,MpE_GEc?G?}?K@??_,14,"claw_free,connected",radius,3,total_domination_number,7,<=,5.3990000000000045,14,21,0.23076923076923078,1,6,3.0
5998,True,0.472592,0.486714285714,KAQJ`?aC???D,25,"claw_free,connected",radius,4,independence_number,6,<=,5.513285714285715,12,13,0.19696969696969696,1,4,2.1666666666666665
6000,True,0.631854,0.201,MhoGMO@?KW@`?@qO?,13,"claw_free,connected",radius,3,independent_domination_number,5,<=,4.799000000000008,14,23,0.25274725274725274,1,7,3.2857142857142856
6179,False,3.366346,-inf,A_,0,"claw_free,connected",maximum_degree,,average_degree,,>=,,,,,,,
6180,False,5.291228,-inf,A_,0,"claw_free,connected",maximum_degree,,average_degree,,>=,,,,,,,
